/.hta.txt             (Status: 403) [Size: 217]
/.hta.html            (Status: 403) [Size: 218]
/.hta                 (Status: 403) [Size: 213]
/.htaccess.txt        (Status: 403) [Size: 222]
/.htaccess.html       (Status: 403) [Size: 223]
/.htaccess            (Status: 403) [Size: 218]
/.htpasswd            (Status: 403) [Size: 218]
/.htpasswd.txt        (Status: 403) [Size: 222]
/.htpasswd.html       (Status: 403) [Size: 223]
/0                    (Status: 301) [Size: 0] [--> http://10.10.194.248/0/]
/admin                (Status: 301) [Size: 235] [--> http://10.10.194.248/admin/]
/atom                 (Status: 301) [Size: 0] [--> http://10.10.194.248/feed/atom/]
/audio                (Status: 301) [Size: 235] [--> http://10.10.194.248/audio/]
/blog                 (Status: 301) [Size: 234] [--> http://10.10.194.248/blog/]
/cgi-bin/.html        (Status: 403) [Size: 222]
